ID;Source;Titre;URL
1;revue2presse;"Le Monde";http://www.revue2presse.fr/newspaper/lemonde/lemonde-cover.jpg
2;epresse;"Libération";https://www.epresse.fr/quotidien/liberation
3;epresse;"Le Figaro";https://www.epresse.fr/quotidien/le-figaro
4;epresse;"L'Équipe";https://www.epresse.fr/kiosque_premium/l-equipe
5;epresse;"Aujourd'hui en France";https://www.epresse.fr/quotidien/aujourd-hui-en-france
6;epresse;"Le Parisien";https://www.epresse.fr/quotidien/le-parisien
7;epresse;"La Croix";https://www.epresse.fr/quotidien/la-croix
8;epresse;"Ouest France";https://www.epresse.fr/quotidien/ouest-france
9;epresse;"L'Opinion";https://www.epresse.fr/quotidien/l-opinion
10;epresse;"La Voix du Nord";https://www.epresse.fr/quotidien/la-voix-du-nord/lille
11;epresse;"Sud Ouest";https://www.epresse.fr/quotidien/sud-ouest/edition-bordeaux-rive-gauche
12;epresse;"Le Dauphiné Libéré";https://www.epresse.fr/quotidien/le-dauphine-libere/montelimar-drome-provencale
13;epresse;"Le Progrès";https://www.epresse.fr/quotidien/le-progres/edition-de-lyon-villeurbanne-caluire
14;revue2presse;"La Dépêche du Midi";http://www.revue2presse.fr/newspaper/ladepechedumidi/ladepechedumidi-cover.jpg
15;revue2presse;"La Nouvelle République";http://www.revue2presse.fr/newspaper/lanouvellerepublique/lanouvellerepublique-cover.jpg
16;revue2presse;"La Montagne";http://www.revue2presse.fr/newspaper/lamontagne/lamontagne-cover.jpg
17;epresse;"Le Télégramme";https://www.epresse.fr/quotidien/le-telegramme/quimper
18;revue2presse;"La Provence";http://www.revue2presse.fr/newspaper/laprovence/laprovencemarseille-cover.jpg
19;revue2presse;"Midi Libre";http://www.revue2presse.fr/newspaper/midilibre/midilibremontpellier-cover.jpg
20;epresse;"L'Est Républicain";https://www.epresse.fr/quotidien/l-est-republicain/edition-de-besancon
21;revue2presse;"Nice-matin";http://www.revue2presse.fr/newspaper/nicematin/nicematin-nice-cover.jpg
22;revue2presse;"La Marseillaise";http://www.revue2presse.fr/newspaper/lamarseillaise/lamarseillaise-cover.jpg
23;revue2presse;"Var-matin";http://www.revue2presse.fr/newspaper/varmatin/varmatin-toulon-cover.jpg
24;revue2presse;"L'Indépendant";http://www.revue2presse.fr/newspaper/lindependant/independant-cover.jpg
25;revue2presse;"Le Journal du Centre";http://www.revue2presse.fr/newspaper/lamontagne/lejournalducentre-cover.jpg
26;revue2presse;"Le Berry Républicain";http://www.revue2presse.fr/newspaper/lamontagne/leberry-cover.jpg
27;revue2presse;"Le Populaire du Centre";http://www.revue2presse.fr/newspaper/lamontagne/lepopulaireducentre-cover.jpg
28;revue2presse;"Courrier picard";http://www.revue2presse.fr/newspaper/lecourrierpicard/lecourrierpicard-cover.jpg
29;revue2presse;"L'Yonne Républicaine";http://www.revue2presse.fr/newspaper/lamontagne/lyonne-cover.jpg
30;revue2presse;"Presse Océan";http://www.revue2presse.fr/newspaper/presseocean/presseocean-cover.jpg
31;epresse;"Journal de l'île";https://www.epresse.fr/quotidien/journal-de-l-ile/le-journal-de-l-ile-de-la-reunion
32;epresse;"France-Guyane";https://www.epresse.fr/quotidien/france-guyane
33;epresse;"France-Antilles Martinique";https://www.epresse.fr/quotidien/france-antilles-martinique
34;epresse;"France-Antilles Guadeloupe";https://www.epresse.fr/quotidien/france-antilles-guadeloupe
